,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
World Urbanization Prospects: The 2014 Revision,,,,,,,,,,,,,,,,,,,,,,,,
"File 3: Urban Population at Mid-Year by Major Area, Region and Country, 1950-2050 (thousands)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
POP/DB/WUP/Rev.2014/1/F03,,,,,,,,,,,,,,,,,,,,,,,,
June 2014 - Copyright © 2014 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2014). World Urbanization Prospects: The 2014 Revision, CD-ROM Edition.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Urban Population at Mid-Year, 1950-2050 (thousands)",,,,,,,,,,,,,,,,,,,,
Index,"Major area, region, country or area",Note,Country Code,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
66,Guinea,,324,207.613,278.631,374.542,502.916,672.521,848.946,1061.679,1348.899,1687.192,2310.013,2712.821,3141.706,3790.992,4588.526,5528.407,6608.098,7818.385,9149.241,10596.084,12140.693,13763.527
67,Guinea-Bissau,,624,51.888,68.819,86.49,94.611,103.345,124.103,144.059,204.201,286.198,371.912,466.722,580.937,717.48,881.959,1060.544,1249.266,1444.05,1640.972,1841.396,2051.421,2268.252
68,Liberia,,430,120.624,157.492,208.739,277.001,369.483,494.815,665.542,931.117,1165.453,955.924,1282.032,1505.759,1891.948,2238.246,2632.194,3083.143,3595.088,4163.237,4778.549,5433.08,6121.634
69,Mali,,466,392.901,469.476,564.271,677.59,819.144,1005.66,1244.972,1556.052,1857.419,2293.838,2909.508,3828.415,5034.381,6489.835,8322.249,10522.484,13089.252,16002.165,19313.237,23065.181,27233.35
70,Mauritania,,478,20.49,34.641,59.054,100.141,167.336,273.296,419.915,618.38,836.486,1056.398,1333.562,1671.468,2045.878,2442.382,2866.197,3310.821,3773.924,4266.82,4785.074,5320.575,5867.189
71,Niger,,562,124.316,155.47,193.336,261.207,388.042,579.024,784.3,974.663,1191.651,1445.913,1778.822,2204.375,2790.763,3609.323,4749.353,6331.646,8473.476,11246.117,14769.757,19169.751,24561.767
72,Nigeria,,566,2953.06,4541.081,6967.11,8315.202,9969.016,12573.568,16191.472,21508.164,28379.229,34918.67,42810.252,54541.496,69440.943,87680.5,108711.17,132547.15,159240.806,188612.714,220824.256,256584.4,295479.827
73,Saint Helena,3,654,2.554,2.487,2.337,2.227,2.266,2.303,2.333,2.432,2.355,2.182,2.064,1.869,1.676,1.627,1.707,1.798,1.9,2.006,2.102,2.191,2.27
74,Senegal,,686,426.721,555.261,730.88,961.65,1265.417,1651.329,1991.937,2417.37,2923.005,3451.539,3978.718,4634.488,5468.959,6543.954,7806.372,9282.903,10998.104,12935.929,15086.37,17423.224,19909.932
75,Sierra Leone,,694,244.161,301.244,374.827,472.967,606.863,782.176,948.331,1146.884,1344.255,1352.051,1474.811,1886.166,2199.61,2523.784,2891.507,3303.602,3766.46,4268.461,4794.795,5337.455,5893.247
