city,state_name,lat,lng,population,density
Bronx,New York,40.8501,-73.8662,1472654,13356.3
Charlotte,North Carolina,35.2083,-80.8303,1436613,1098.2
Virginia Beach,Virginia,36.7335,-76.0435,1431821,721.1
Jacksonville,Florida,30.3322,-81.6749,1303156,496.9
Milwaukee,Wisconsin,43.0642,-87.9675,1290221,2287.4
Providence,Rhode Island,41.823,-71.4187,1270529,3990.1
Nashville,Tennessee,36.1715,-86.7842,1178679,555.6
Salt Lake City,Utah,40.7776,-111.9311,1169033,709.9
Raleigh,North Carolina,35.8324,-78.6429,1150010,1204.2
Richmond,Virginia,37.5295,-77.4756,1081248,1466.4
Memphis,Tennessee,35.1087,-89.9663,1033394,838.2
Oklahoma City,Oklahoma,35.4676,-97.5136,1000207,438.4
Hartford,Connecticut,41.7661,-72.6834,969171,2665.3
Louisville,Kentucky,38.1663,-85.6485,965005,920.7
Buffalo,New York,42.9018,-78.8487,949547,2642.9
Fort Worth,Texas,32.7817,-97.3474,941311,1032.7
Bridgeport,Connecticut,41.1918,-73.1954,921660,3557.4
New Orleans,Louisiana,30.0687,-89.9288,918752,856.6
Tucson,Arizona,32.1541,-110.8787,879871,866.2
El Paso,Texas,31.8476,-106.43,862494,1011.6
Omaha,Nebraska,41.2627,-96.0529,826161,1318.9
McAllen,Texas,26.2252,-98.2467,810034,890.1
Birmingham,Alabama,33.5279,-86.7971,778756,523.3
Albuquerque,New Mexico,35.1054,-106.6465,767499,1159.7
Tulsa,Oklahoma,36.1283,-95.9042,740620,805.1
Charleston,South Carolina,32.8168,-79.9687,726389,509.3
Fresno,California,36.783,-119.7939,724547,1810.8
Rochester,New York,43.168,-77.6162,694707,2264.3
Dayton,Ohio,39.7805,-84.2003,667936,946
Cape Coral,Florida,26.6443,-81.9957,656464,750
Provo,Utah,40.2457,-111.6457,639820,1053.7
Colorado Springs,Colorado,38.8674,-104.7605,638421,923
Mission Viejo,California,33.6096,-117.6551,634674,2020.5
Allentown,Pennsylvania,40.5961,-75.4756,632175,2754.8
Baton Rouge,Louisiana,30.442,-91.1311,630063,993.4
Ogden,Utah,41.2279,-111.9682,623688,1219.7
Knoxville,Tennessee,35.9692,-83.9496,618226,757.6
